"[reporter]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]"
,"1473","2","0","0","0","0","0","1473","2","0","0","0","0","0","1473","2","0","0","0","0","0","1473","2","0","0","0","0","0","1473","2","0","0","0","0","0","1473","2","0","0","0","0","0","1473","2","0","0","0","0","0","1473","2","0","0","0","0","0","1473","2","0","0","0","0","0","1473","2","0","0","0","0","0"
,"1887","3","0","0","0","0","0","1887","3","0","0","0","0","0","1887","3","0","0","0","0","0","1887","3","0","0","0","0","0","1887","3","0","0","0","0","0","1887","3","0","0","0","0","0","1887","3","0","0","0","0","0","1887","3","0","0","0","0","0","1887","3","0","0","0","0","0","1887","3","0","0","0","0","0"
,"2320","5","0","0","0","0","0","2320","5","0","0","0","0","0","2320","5","0","0","0","0","0","2320","5","0","0","0","0","0","2320","5","0","0","0","0","0","2320","5","0","0","0","0","0","2320","5","0","0","0","0","0","2320","5","0","0","0","0","0","2320","5","0","0","0","0","0","2320","5","0","0","0","0","0"
,"2740","10","0","0","0","0","0","2740","10","0","0","0","0","0","2740","10","0","0","0","0","0","2740","10","0","0","0","0","0","2740","10","0","0","0","0","0","2740","10","0","0","0","0","0","2740","10","0","0","0","0","0","2740","10","0","0","0","0","0","2740","10","0","0","0","0","0","2740","10","0","0","0","0","0"
,"3141","20","0","0","0","0","0","3141","20","0","0","0","0","0","3141","20","0","0","0","0","0","3141","20","0","0","0","0","0","3141","20","0","0","0","0","0","3141","20","0","0","0","0","0","3141","20","0","0","0","0","0","3141","20","0","0","0","0","0","3141","20","0","0","0","0","0","3141","20","0","0","0","0","0"
,"3589","29","0","0","0","0","0","3589","29","0","0","0","0","0","3589","29","0","0","0","0","0","3589","29","0","0","0","0","0","3589","29","0","0","0","0","0","3589","29","0","0","0","0","0","3589","29","0","0","0","0","0","3589","29","0","0","0","0","0","3589","29","0","0","0","0","0","3589","29","0","0","0","0","0"
,"4008","45","0","0","0","0","0","4008","45","0","0","0","0","0","4008","45","0","0","0","0","0","4008","45","0","0","0","0","0","4008","45","0","0","0","0","0","4008","45","0","0","0","0","0","4008","45","0","0","0","0","0","4008","45","0","0","0","0","0","4008","45","0","0","0","0","0","4008","45","0","0","0","0","0"
,"4439","70","0","0","0","0","0","4439","70","0","0","0","0","0","4439","70","0","0","0","0","0","4439","70","0","0","0","0","0","4439","70","0","0","0","0","0","4439","70","0","0","0","0","0","4439","70","0","0","0","0","0","4439","70","0","0","0","0","0","4439","70","0","0","0","0","0","4439","70","0","0","0","0","0"
,"4883","94","0","0","0","0","0","4883","94","0","0","0","0","0","4883","94","0","0","0","0","0","4883","94","0","0","0","0","0","4883","94","0","0","0","0","0","4883","94","0","0","0","0","0","4883","94","0","0","0","0","0","4883","94","0","0","0","0","0","4883","94","0","0","0","0","0","4883","94","0","0","0","0","0"
,"5380","132","0","0","0","0","0","5380","132","0","0","0","0","0","5380","132","0","0","0","0","0","5380","132","0","0","0","0","0","5380","132","0","0","0","0","0","5380","132","0","0","0","0","0","5380","132","0","0","0","0","0","5380","132","0","0","0","0","0","5380","132","0","0","0","0","0","5380","132","0","0","0","0","0"
,"5846","184","0","0","0","0","0","5846","184","0","0","0","0","0","5846","184","0","0","0","0","0","5846","184","0","0","0","0","0","5846","184","0","0","0","0","0","5846","184","0","0","0","0","0","5846","184","0","0","0","0","0","5846","184","0","0","0","0","0","5846","184","0","0","0","0","0","5846","184","0","0","0","0","0"
,"6303","239","1","0","0","0","0","6303","239","1","0","0","0","0","6303","239","1","0","0","0","0","6303","239","1","0","0","0","0","6303","239","1","0","0","0","0","6303","239","1","0","0","0","0","6303","239","1","0","0","0","0","6303","239","1","0","0","0","0","6303","239","1","0","0","0","0","6303","239","1","0","0","0","0"
,"6727","300","1","0","0","0","0","6727","300","1","0","0","0","0","6727","300","1","0","0","0","0","6727","300","1","0","0","0","0","6727","300","1","0","0","0","0","6727","300","1","0","0","0","0","6727","300","1","0","0","0","0","6727","300","1","0","0","0","0","6727","300","1","0","0","0","0","6727","300","1","0","0","0","0"
,"7187","377","3","0","0","0","0","7187","377","3","0","0","0","0","7187","377","3","0","0","0","0","7187","377","3","0","0","0","0","7187","377","3","0","0","0","0","7187","377","3","0","0","0","0","7187","377","3","0","0","0","0","7187","377","3","0","0","0","0","7187","377","3","0","0","0","0","7187","377","3","0","0","0","0"
,"7607","447","7","1","0","0","0","7607","447","7","1","0","0","0","7607","447","7","1","0","0","0","7607","447","7","1","0","0","0","7607","447","7","1","0","0","0","7607","447","7","1","0","0","0","7607","447","7","1","0","0","0","7607","447","7","1","0","0","0","7607","447","7","1","0","0","0","7607","447","7","1","0","0","0"
,"8017","536","9","2","1","0","0","8017","536","9","2","1","0","0","8017","536","9","2","1","0","0","8017","536","9","2","1","0","0","8017","536","9","2","1","0","0","8017","536","9","2","1","0","0","8017","536","9","2","1","0","0","8017","536","9","2","1","0","0","8017","536","9","2","1","0","0","8017","536","9","2","1","0","0"
,"8380","623","16","3","1","0","0","8380","623","16","3","1","0","0","8380","623","16","3","1","0","0","8380","623","16","3","1","0","0","8380","623","16","3","1","0","0","8380","623","16","3","1","0","0","8380","623","16","3","1","0","0","8380","623","16","3","1","0","0","8380","623","16","3","1","0","0","8380","623","16","3","1","0","0"
,"8769","741","19","3","1","0","0","8769","741","19","3","1","0","0","8769","741","19","3","1","0","0","8769","741","19","3","1","0","0","8769","741","19","3","1","0","0","8769","741","19","3","1","0","0","8769","741","19","3","1","0","0","8769","741","19","3","1","0","0","8769","741","19","3","1","0","0","8769","741","19","3","1","0","0"
,"9146","855","25","6","1","0","0","9146","855","25","6","1","0","0","9146","855","25","6","1","0","0","9146","855","25","6","1","0","0","9146","855","25","6","1","0","0","9146","855","25","6","1","0","0","9146","855","25","6","1","0","0","9146","855","25","6","1","0","0","9146","855","25","6","1","0","0","9146","855","25","6","1","0","0"
,"9558","1002","31","6","1","0","0","9558","1002","31","6","1","0","0","9558","1002","31","6","1","0","0","9558","1002","31","6","1","0","0","9558","1002","31","6","1","0","0","9558","1002","31","6","1","0","0","9558","1002","31","6","1","0","0","9558","1002","31","6","1","0","0","9558","1002","31","6","1","0","0","9558","1002","31","6","1","0","0"
,"9877","1141","39","8","1","0","0","9877","1141","39","8","1","0","0","9877","1141","39","8","1","0","0","9877","1141","39","8","1","0","0","9877","1141","39","8","1","0","0","9877","1141","39","8","1","0","0","9877","1141","39","8","1","0","0","9877","1141","39","8","1","0","0","9877","1141","39","8","1","0","0","9877","1141","39","8","1","0","0"
,"10254","1329","45","10","3","0","0","10254","1329","45","10","3","0","0","10254","1329","45","10","3","0","0","10254","1329","45","10","3","0","0","10254","1329","45","10","3","0","0","10254","1329","45","10","3","0","0","10254","1329","45","10","3","0","0","10254","1329","45","10","3","0","0","10254","1329","45","10","3","0","0","10254","1329","45","10","3","0","0"
,"10583","1469","49","13","5","0","0","10583","1469","49","13","5","0","0","10583","1469","49","13","5","0","0","10583","1469","49","13","5","0","0","10583","1469","49","13","5","0","0","10583","1469","49","13","5","0","0","10583","1469","49","13","5","0","0","10583","1469","49","13","5","0","0","10583","1469","49","13","5","0","0","10583","1469","49","13","5","0","0"
,"10915","1656","63","13","6","0","0","10915","1656","63","13","6","0","0","10915","1656","63","13","6","0","0","10915","1656","63","13","6","0","0","10915","1656","63","13","6","0","0","10915","1656","63","13","6","0","0","10915","1656","63","13","6","0","0","10915","1656","63","13","6","0","0","10915","1656","63","13","6","0","0","10915","1656","63","13","6","0","0"
,"11196","1795","73","17","8","0","0","11196","1795","73","17","8","0","0","11196","1795","73","17","8","0","0","11196","1795","73","17","8","0","0","11196","1795","73","17","8","0","0","11196","1795","73","17","8","0","0","11196","1795","73","17","8","0","0","11196","1795","73","17","8","0","0","11196","1795","73","17","8","0","0","11196","1795","73","17","8","0","0"
,"11484","1950","82","19","8","0","0","11484","1950","82","19","8","0","0","11484","1950","82","19","8","0","0","11484","1950","82","19","8","0","0","11484","1950","82","19","8","0","0","11484","1950","82","19","8","0","0","11484","1950","82","19","8","0","0","11484","1950","82","19","8","0","0","11484","1950","82","19","8","0","0","11484","1950","82","19","8","0","0"
,"11752","2082","87","23","8","0","0","11752","2082","87","23","8","0","0","11752","2082","87","23","8","0","0","11752","2082","87","23","8","0","0","11752","2082","87","23","8","0","0","11752","2082","87","23","8","0","0","11752","2082","87","23","8","0","0","11752","2082","87","23","8","0","0","11752","2082","87","23","8","0","0","11752","2082","87","23","8","0","0"
,"12009","2199","103","26","12","0","0","12009","2199","103","26","12","0","0","12009","2199","103","26","12","0","0","12009","2199","103","26","12","0","0","12009","2199","103","26","12","0","0","12009","2199","103","26","12","0","0","12009","2199","103","26","12","0","0","12009","2199","103","26","12","0","0","12009","2199","103","26","12","0","0","12009","2199","103","26","12","0","0"
,"12250","2313","111","28","14","0","0","12250","2313","111","28","14","0","0","12250","2313","111","28","14","0","0","12250","2313","111","28","14","0","0","12250","2313","111","28","14","0","0","12250","2313","111","28","14","0","0","12250","2313","111","28","14","0","0","12250","2313","111","28","14","0","0","12250","2313","111","28","14","0","0","12250","2313","111","28","14","0","0"
,"12499","2421","115","29","15","0","0","12499","2421","115","29","15","0","0","12499","2421","115","29","15","0","0","12499","2421","115","29","15","0","0","12499","2421","115","29","15","0","0","12499","2421","115","29","15","0","0","12499","2421","115","29","15","0","0","12499","2421","115","29","15","0","0","12499","2421","115","29","15","0","0","12499","2421","115","29","15","0","0"
,"12699","2534","124","33","17","0","0","12699","2534","124","33","17","0","0","12699","2534","124","33","17","0","0","12699","2534","124","33","17","0","0","12699","2534","124","33","17","0","0","12699","2534","124","33","17","0","0","12699","2534","124","33","17","0","0","12699","2534","124","33","17","0","0","12699","2534","124","33","17","0","0","12699","2534","124","33","17","0","0"
,"12956","2657","135","33","17","0","0","12956","2657","135","33","17","0","0","12956","2657","135","33","17","0","0","12956","2657","135","33","17","0","0","12956","2657","135","33","17","0","0","12956","2657","135","33","17","0","0","12956","2657","135","33","17","0","0","12956","2657","135","33","17","0","0","12956","2657","135","33","17","0","0","12956","2657","135","33","17","0","0"
,"13170","2747","149","37","17","0","0","13170","2747","149","37","17","0","0","13170","2747","149","37","17","0","0","13170","2747","149","37","17","0","0","13170","2747","149","37","17","0","0","13170","2747","149","37","17","0","0","13170","2747","149","37","17","0","0","13170","2747","149","37","17","0","0","13170","2747","149","37","17","0","0","13170","2747","149","37","17","0","0"
,"13373","2849","160","37","17","0","0","13373","2849","160","37","17","0","0","13373","2849","160","37","17","0","0","13373","2849","160","37","17","0","0","13373","2849","160","37","17","0","0","13373","2849","160","37","17","0","0","13373","2849","160","37","17","0","0","13373","2849","160","37","17","0","0","13373","2849","160","37","17","0","0","13373","2849","160","37","17","0","0"
,"13537","2931","174","39","22","0","0","13537","2931","174","39","22","0","0","13537","2931","174","39","22","0","0","13537","2931","174","39","22","0","0","13537","2931","174","39","22","0","0","13537","2931","174","39","22","0","0","13537","2931","174","39","22","0","0","13537","2931","174","39","22","0","0","13537","2931","174","39","22","0","0","13537","2931","174","39","22","0","0"
,"13664","2993","184","40","22","0","0","13664","2993","184","40","22","0","0","13664","2993","184","40","22","0","0","13664","2993","184","40","22","0","0","13664","2993","184","40","22","0","0","13664","2993","184","40","22","0","0","13664","2993","184","40","22","0","0","13664","2993","184","40","22","0","0","13664","2993","184","40","22","0","0","13664","2993","184","40","22","0","0"
